SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,GPA
s0100,,,,,,,,,
s0101,197,196,GOVERNMENT,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,196,2.7577
s0102,,,,,,,,,
s0103,471,467,,,,,,467,2.7099
s0104,131,131,,,,,,130,2.7455
s0105,169,169,,,,,,169,2.1617
s0106,8,8,,,,,,8,2.7917
s0107,,,,,,,,,
s0108,282,280,GOVERNMENT,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,280,2.7375
s0109,599,596,,,,,,596,2.3356
s0110,184,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,1.6548
s0111,7,7,,,,,,7,3.3810
s0112,203,194,,,,,,191,2.7706
s0113,22,22,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,22,2.7576
s0114,15,15,,,,,,15,2.6889
s0115,305,303,,,,,,303,2.3421
s0116,199,199,,,,,,199,2.6265
s0117,6,6,,,,,,6,3.0833
s0118,10,10,,,,,,10,2.0667
s0119,183,183,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,183,1.6384
s0120,463,463,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,463,2.4669
s0121,23,23,,,,,,23,2.4565
s0122,,,,,,,,,
s0123,315,311,,,,,,311,1.9871
s0124,6,6,,,,,,6,2.8056
s0125,441,441,,,,,,441,2.4607
s0126,,,,,,,,,
s0127,,,,,,,,,
s0128,168,168,,,,,,168,2.1171
s0129,317,315,,,,,,314,2.4963
s0130,36,36,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,36,2.2593
s0131,,,,,,,,,
s0132,385,385,,,,,,385,2.6355
s0133,342,342,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,341,2.5699
s0134,241,239,,,,,,239,2.2957
s0135,242,240,,,,,,240,2.6299
s0136,236,235,,,,,,235,2.0184
s0137,,,,,,,,,
s0138,164,163,,,,,,162,2.6554
s0139,198,194,,,,,,194,2.5430
s0140,135,133,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,COMBINED OA,133,1.4749
s0141,2,2,,,,,,2,1.6667
s0142,396,393,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,393,2.4296
s0143,468,465,,,,,,464,2.6935
s0144,429,428,,,,,,428,2.2235
s0145,245,245,,,,,,245,2.5245
s0146,24,24,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,24,3.0417
s0147,206,205,,,,,,201,3.1364
s0148,22,22,,,,,,22,2.1970
s0149,477,473,,,,,,473,2.2530
s0150,453,452,GOVERNMENT,BOYS ONLY,BOARDING,MIXED,ALEVEL ONLY,452,2.6449
s0151,679,676,GOVERNMENT,BOYS ONLY,,MIXED,ALEVEL ONLY,676,2.2133
s0152,209,204,,,,,,204,2.6242
s0153,252,252,,,,,,252,2.7037
s0154,3,3,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,3,2.0556
s0155,109,109,,,,,,109,1.4144
