SCHOOL_NO,SCHOOL_NAME,NUMBER OF CANDIDATES,ABSENT,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,PERFORMANCE,GPA
s0101,School 0101,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0102,School 0102,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0103,School 0103,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0104,School 0104,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0105,School 0105,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0106,School 0106,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0107,School 0107,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0108,School 0108,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0109,School 0109,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0110,School 0110,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0111,School 0111,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0112,School 0112,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0113,School 0113,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0114,School 0114,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0115,School 0115,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0116,School 0116,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0117,School 0117,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0118,School 0118,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0119,School 0119,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0120,School 0120,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
