SCHOOL_NO,SCHOOL_NAME,NUMBER OF CANDIDATES,ABSENT,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,PERFORMANCE,GPA
s0057,School 0057,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0058,School 0058,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0059,School 0059,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0060,School 0060,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0061,School 0061,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0062,School 0062,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0063,School 0063,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0064,School 0064,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0065,School 0065,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0066,School 0066,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0067,School 0067,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0068,School 0068,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0069,School 0069,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0070,School 0070,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0071,School 0071,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0072,School 0072,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0073,School 0073,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0074,School 0074,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0075,School 0075,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0076,School 0076,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0077,School 0077,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0078,School 0078,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0079,School 0079,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0080,School 0080,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0081,School 0081,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0082,School 0082,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0083,School 0083,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0084,School 0084,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0085,School 0085,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0086,School 0086,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0087,School 0087,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0088,School 0088,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0089,School 0089,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0090,School 0090,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0091,School 0091,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0092,School 0092,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0093,School 0093,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0094,School 0094,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0095,School 0095,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0096,School 0096,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0097,School 0097,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0098,School 0098,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0099,School 0099,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
s0100,School 0100,N/A,N/A,N/A,Not Found,Not Found,Not Found,Not Found,Not Found,N/A,N/A
