school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s0709,BUKONGO SECONDARY SCHOOL,False,MWANZA,2.706,,161.0,162.0,1.0,161.0,0.0,0.0,161.0,35.0,110.0,16.0,0.0,0.0,,,
s1264,BWAWANI SECONDARY SCHOOL,False,PWANI,2.6402,,44.0,44.0,0.0,44.0,0.0,0.0,44.0,18.0,17.0,9.0,0.0,0.0,,,
s0210,BIGWA SISTERS' SEMINARY,False,MOROGORO,2.7704,,53.0,53.0,0.0,53.0,0.0,0.0,53.0,13.0,30.0,10.0,0.0,0.0,,,
s0235,BUKUMBI SECONDARY SCHOOL,False,MWANZA,2.5,,13.0,13.0,0.0,13.0,0.0,0.0,13.0,7.0,4.0,2.0,0.0,0.0,600,45,13:1
p1264,BWAWANI SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0405,BIHARAMULO SECONDARY SCHOOL,False,KAGERA,2.5204,,269.0,269.0,0.0,269.0,0.0,0.0,269.0,103.0,144.0,22.0,0.0,0.0,,,
s0742,BULONGWA SECONDARY SCHOOL,False,NJOMBE,2.619,,7.0,7.0,0.0,7.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,,,
s4382,BWINA SECONDARY SCHOOL,False,GEITA,1.9477,,102.0,102.0,0.0,102.0,0.0,0.0,102.0,85.0,17.0,0.0,0.0,0.0,,,
s0103,BIHAWANA SECONDARY SCHOOL,False,DODOMA,2.8265,,389.0,393.0,4.0,389.0,0.0,0.0,389.0,98.0,199.0,92.0,0.0,0.0,,,
p0742,BULONGWA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0104,BWIRU BOYS' SECONDARY SCHOOL,False,MWANZA,2.4112,,122.0,123.0,1.0,122.0,0.0,0.0,122.0,66.0,40.0,16.0,0.0,0.0,,,
