school_code,prev_sat,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,prev_gpa,gpa,sat,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,student_teacher_ratio
s3788,231.0,,,,,,2.8831,2.7017,200.0,,,,
s3789,7.0,,,,,,3.8333,2.75,6.0,,,,
s3790,51.0,,,,,,1.8889,1.8829,37.0,,,,
s3793,93.0,,,,,,2.7079,2.259,139.0,,,,
s3794,136.0,,,,,,2.9081,2.7691,153.0,,,,
s3795,26.0,,,,,,3.0449,3.0215,31.0,,,,
s3800,8.0,,,,,,2.6458,2.6111,9.0,,,,
s3804,141.0,,,,,,3.13,3.0998,142.0,,,,
s3805,69.0,,,,,,2.3333,2.5395,77.0,,,,
s3809,56.0,,,,,,2.3214,2.3697,78.0,,,,
s3811,12.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,3.5833,3.0,7.0,160.0,12.0,13:1,13.333333333333334
s3825,96.0,,,,,,2.2639,2.3905,105.0,,,,
s3838,23.0,PRIVATE,BOYS AND GIRLS,BOARDING,,,3.0,2.7984,63.0,480.0,30.0,16:1,16.0
s3881,132.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,1.2891,1.5084,119.0,210.0,20.0,11:1,10.5
s3885,70.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,2.6,2.661,90.0,500.0,30.0,17:1,16.666666666666668
s3886,56.0,,,,,,2.7798,3.0272,49.0,,,,
s3897,40.0,,,,,,2.3667,2.35,10.0,,,,
s3905,84.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,1.5536,1.6826,94.0,510.0,30.0,17:1,17.0
s3912,72.0,,,,,,1.9676,1.9378,75.0,,,,
s3914,389.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,2.9737,3.0131,297.0,3500.0,100.0,35:1,35.0
s3920,65.0,,,,,,2.8154,2.1795,78.0,,,,
s3941,162.0,GOVERNMENT,GIRLS ONLY,BOARDING,ARTS,ALEVEL ONLY,2.8158,3.0066,229.0,450.0,24.0,19:1,18.75
s3981,26.0,,,,,,2.4103,2.3016,42.0,,,,
s3983,18.0,,,,,,2.6204,2.5397,21.0,,,,
s3993,21.0,,,,,,2.0794,2.1926,77.0,,,,
s4002,112.0,,,,,,2.5179,2.3719,108.0,,,,
s4007,38.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,2.3596,2.4792,16.0,370.0,25.0,15:1,14.8
s4014,41.0,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,3.1458,3.4074,27.0,360.0,30.0,12:1,12.0
s4054,147.0,,,,,,2.7234,2.4191,171.0,,,,
s4071,46.0,,,,,,3.0036,2.7167,20.0,,,,
s4084,264.0,,,,,,2.7102,2.1374,205.0,,,,
s4087,23.0,PRIVATE,BOYS AND GIRLS,BOARDING,SCIENCE,COMBINED OA,3.2391,2.7745,17.0,400.0,40.0,10:1,10.0
s4092,2.0,,,,,,3.75,2.7143,7.0,,,,
s4126,28.0,,,,,,2.9167,2.4583,56.0,,,,
s4139,93.0,,,,,,2.776,2.7691,96.0,,,,
s4163,96.0,,,,,,2.3021,2.2182,123.0,,,,
s4192,161.0,,,,,,2.8406,2.7459,181.0,,,,
s4193,55.0,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,1.8576,1.9653,48.0,350.0,30.0,12:1,11.666666666666666
s4207,39.0,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,2.2521,2.478,53.0,420.0,35.0,12:1,12.0
s4213,96.0,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,1.4236,1.5476,77.0,690.0,50.0,14:1,13.8
s4217,21.0,PRIVATE,BOYS AND GIRLS,,MIXED,COMBINED OA,3.381,2.6296,27.0,500.0,30.0,17:1,16.666666666666668
s4223,83.0,,,,,,2.9518,2.6595,70.0,,,,
s4236,21.0,,,,,,3.0556,2.3944,33.0,,,,
s4294,31.0,,,,,,2.8118,2.0408,49.0,,,,
