SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,N,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,GPA,1,7,3,8,9,6,4,2,5
s0160,281,281,,,,,,o,Not Available,Not Available,Not Available,2.2811,,,,,,,,,
s0161,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0162,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0163,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0164,18,18,,,,,,o,Not Available,Not Available,Not Available,3.1574,,,,,,,,,
s0165,17,17,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,220,20,11:1,2.0392,,,,,,,,2,
s0166,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0167,20,19,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,400,20,20:1,2.9386,,,,,,,0,,
s0168,39,39,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,,400,30,13:1,2.1709,,,,,,,0,,
s0169,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0170,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0171,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0172,,,PRIVATE,BOYS ONLY,BOARDING,,,,500,50,10:1,,,,,,,,,,0
s0173,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0174,26,26,,,,,,o,Not Available,Not Available,Not Available,3.2179,,,,,,,,,
s0175,44,44,,,,,,o,Not Available,Not Available,Not Available,2.0152,,,,,,,,,
s0176,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0177,37,37,,,,,,o,Not Available,Not Available,Not Available,3.1622,,,,,,,,,
s0178,7,7,,,,,,o,Not Available,Not Available,Not Available,3.1667,,,,,,,,,
s0179,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0180,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0181,4,4,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,530,40,13:1,2.8333,,,,,,,,,3
s0182,34,33,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,170,19,9:1,3.0101,7,,,,,,,,
s0183,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0184,31,30,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,500,30,17:1,1.6222,,,,,,,,,0
s0185,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0186,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0187,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0188,88,88,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,880,60,15:1,2.9242,,,,8,,,,,
s0189,85,85,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,500,45,11:1,1.8216,,,,,,,,,0
s0190,16,16,,,,,,o,Not Available,Not Available,Not Available,2.8021,,,,,,,,,
s0191,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0192,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,270,20,14:1,,,,,,,,,7,
s0193,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0194,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,1000,50,20:1,,0,,,,,,,,
s0195,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0196,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,320,15,21:1,,,,2,,,,,,
s0197,11,11,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,,400,20,20:1,3.6364,,,,,,,0,,
s0198,9,9,,,,,,o,Not Available,Not Available,Not Available,2.8519,,,,,,,,,
s0199,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0200,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0201,404,403,,,,,,o,Not Available,Not Available,Not Available,2.4309,,,,,,,,,
s0202,476,476,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,,800,40,20:1,2.5826,,,,0,,,,,
s0203,290,290,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,770,65,12:1,2.9782,,7,,,,,,,
s0204,157,156,GOVERNMENT,GIRLS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,,1251,67,19:1,3.1560,2,,,,,,,,
s0205,35,35,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,800,40,20:1,2.7619,,,,0,,,,,
s0206,100,100,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,650,50,13:1,2.0217,,,,,,5,,,
s0207,18,18,,,,,,o,Not Available,Not Available,Not Available,2.7685,,,,,,,,,
s0208,250,249,,,,,,o,Not Available,Not Available,Not Available,2.7651,,,,,,,,,
s0209,387,386,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,40,13:1,2.8614,,,,,,,,,0
s0210,60,60,,,,,,o,Not Available,Not Available,Not Available,2.4139,,,,,,,,,
s0211,424,424,,,,,,o,Not Available,Not Available,Not Available,2.8451,,,,,,,,,
s0212,383,380,,,,,,o,Not Available,Not Available,Not Available,2.4254,,,,,,,,,
s0213,242,242,,,,,,o,Not Available,Not Available,Not Available,2.4497,,,,,,,,,
s0214,145,145,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,600,45,13:1,1.6425,,,,,,0,,,
s0215,313,312,,,,,,o,Not Available,Not Available,Not Available,2.0422,,,,,,,,,
s0216,438,435,,,,,,o,Not Available,Not Available,Not Available,2.4034,,,,,,,,,
s0217,15,15,,,,,,o,Not Available,Not Available,Not Available,3.1000,,,,,,,,,
s0218,255,253,,,,,,o,Not Available,Not Available,Not Available,2.9150,,,,,,,,,
s0219,398,398,,,,,,o,Not Available,Not Available,Not Available,2.4261,,,,,,,,,
s0220,122,122,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,700,50,14:1,1.9699,,0,,,,,,,
s0221,361,361,,,,,,o,Not Available,Not Available,Not Available,2.2410,,,,,,,,,
s0222,193,191,,,,,,o,Not Available,Not Available,Not Available,3.2539,,,,,,,,,
s0223,30,30,,,,,,o,Not Available,Not Available,Not Available,3.1222,,,,,,,,,
s0224,41,41,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,500,30,17:1,1.9472,,,,,,,,,0
s0225,,,PRIVATE,GIRLS ONLY,BOARDING,,,,500,25,20:1,,,,,,,,,,0
s0226,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0227,553,549,,,,,,o,Not Available,Not Available,Not Available,2.8063,,,,,,,,,
s0228,386,385,GOVERNMENT,GIRLS ONLY,BOARDING,MIXED,ALEVEL ONLY,,700,50,14:1,2.6671,,0,,,,,,,
s0229,262,262,,,,,,o,Not Available,Not Available,Not Available,2.6724,,,,,,,,,
s0230,365,362,,,,,,o,Not Available,Not Available,Not Available,2.6975,,,,,,,,,
s0231,,,,,,,,o,Not Available,Not Available,Not Available,,,,,,,,,,
s0232,,,PRIVATE,GIRLS ONLY,BOARDING,,,,360,20,18:1,,,,6,,,,,,
