school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s4645,ALLIANCE BOYS' SECONDARY SCHOOL,False,MWANZA,2.7833,,10.0,10.0,0.0,10.0,0.0,0.0,10.0,3.0,4.0,3.0,0.0,0.0,466,35,13:1
s0201,ASHIRA SECONDARY SCHOOL,False,KILIMANJARO,2.4309,,403.0,404.0,1.0,403.0,0.0,0.0,403.0,187.0,187.0,29.0,0.0,0.0,,,
s2378,AIRPORT SECONDARY SCHOOL,False,MBEYA,2.7111,,60.0,60.0,0.0,60.0,0.0,0.0,60.0,11.0,44.0,5.0,0.0,0.0,700,40,18:1
s4836,ALLIANCE GIRLS SECONDARY SCHOOL,False,MWANZA,3.2843,,16.0,17.0,0.0,17.0,1.0,0.0,16.0,0.0,8.0,8.0,0.0,0.0,500,30,17:1
s0771,ASKOFU ADRIAN MKOBA SECONDARY SCHOOL,False,MOROGORO,2.4706,,17.0,17.0,0.0,17.0,0.0,0.0,17.0,8.0,8.0,1.0,0.0,0.0,,,
s5889,ALPHA GIRLS SECONDARY SCHOOL,False,DAR ES SALAAM,2.0417,,4.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,,,
s0101,AZANIA SECONDARY SCHOOL,False,DAR ES SALAAM,2.7577,,196.0,197.0,1.0,196.0,0.0,0.0,196.0,61.0,89.0,46.0,0.0,0.0,1515,80,19:1
s2549,ALPHA SECONDARY SCHOOL,False,DAR ES SALAAM,2.3575,,138.0,140.0,2.0,138.0,0.0,0.0,138.0,70.0,55.0,13.0,0.0,0.0,600,50,12:1
s0784,AIRWING SECONDARY SCHOOL,False,DAR ES SALAAM,3.042,,135.0,150.0,2.0,148.0,13.0,0.0,135.0,20.0,67.0,48.0,0.0,0.0,1250,80,16:1
s1463,AMANAH ISLAMIC SEMINARY,False,MTWARA,2.5667,,65.0,67.0,2.0,65.0,0.0,0.0,65.0,21.0,41.0,3.0,0.0,0.0,,,
s1009,BABATI DAY SECONDARY SCHOOL,False,MANYARA,2.3,,75.0,76.0,1.0,75.0,0.0,0.0,75.0,40.0,35.0,0.0,0.0,0.0,,,
s1600,BISHOP DURNING HIGH SCHOOL,False,ARUSHA,2.8679,,53.0,53.0,0.0,53.0,0.0,0.0,53.0,9.0,34.0,10.0,0.0,0.0,,,
s0948,BUMANGI SECONDARY SCHOOL,False,MARA,2.3148,,54.0,54.0,0.0,54.0,0.0,0.0,54.0,28.0,24.0,2.0,0.0,0.0,500,30,17:1
s0351,BAGAMOYO SECONDARY SCHOOL,False,PWANI,2.5115,,377.0,383.0,6.0,377.0,0.0,0.0,377.0,155.0,181.0,41.0,0.0,0.0,700,30,23:1
s0638,BUNAZI SECONDARY SCHOOL,False,KAGERA,2.7671,,73.0,73.0,0.0,73.0,0.0,0.0,73.0,16.0,45.0,12.0,0.0,0.0,,,
s0912,BOGWE SECONDARY SCHOOL,False,KIGOMA,2.1788,,151.0,155.0,4.0,151.0,0.0,0.0,151.0,95.0,54.0,2.0,0.0,0.0,,,
s0600,BUNDA SECONDARY SCHOOL,False,MARA,1.7143,,126.0,127.0,1.0,126.0,0.0,0.0,126.0,121.0,4.0,1.0,0.0,0.0,,,
s0625,BALANGDALALU SECONDARY SCHOOL,False,MANYARA,2.7111,,30.0,30.0,0.0,30.0,0.0,0.0,30.0,5.0,23.0,2.0,0.0,0.0,,,
s0632,BONDENI SECONDARY SCHOOL,False,ARUSHA,3.2688,,30.0,34.0,1.0,33.0,2.0,0.0,31.0,1.0,19.0,9.0,1.0,1.0,,,
s1433,BALILI SECONDARY SCHOOL,False,DAR ES SALAAM,2.225,,20.0,21.0,1.0,20.0,0.0,0.0,20.0,12.0,6.0,2.0,0.0,0.0,,,
s6056,BUNGE GIRLS SECONDARY SCHOOL,False,DODOMA,2.684,,173.0,173.0,0.0,173.0,0.0,0.0,173.0,54.0,86.0,33.0,0.0,0.0,,,
s1599,BAOBAB SECONDARY SCHOOL,False,PWANI,2.4538,,382.0,384.0,2.0,382.0,0.0,0.0,382.0,165.0,183.0,34.0,0.0,0.0,700,65,11:1
s0247,BONICONSILI MABAMBA GIRLS' SECONDARY SCHOOL,False,KIGOMA,2.3333,,10.0,10.0,0.0,10.0,0.0,0.0,10.0,5.0,4.0,1.0,0.0,0.0,,,
s0555,BUNGU SECONDARY SCHOOL,False,TANGA,2.6975,,81.0,81.0,0.0,81.0,0.0,0.0,81.0,20.0,53.0,8.0,0.0,0.0,,,
s0264,BARBRO-JOHANSSON SECONDARY SCHOOL,False,DAR ES SALAAM,2.6667,,82.0,82.0,0.0,82.0,0.0,0.0,82.0,26.0,44.0,12.0,0.0,0.0,600,37,16:1
s5567,BOREGA SECONDARY SCHOOL,False,MARA,2.8175,,116.0,117.0,1.0,116.0,0.0,0.0,116.0,30.0,58.0,28.0,0.0,0.0,,,
s0439,BUPANDAGILA SECONDARY SCHOOL,False,SIMIYU,2.881,,28.0,28.0,0.0,28.0,0.0,0.0,28.0,4.0,18.0,6.0,0.0,0.0,,,
s0712,BARIADI SECONDARY SCHOOL,False,SIMIYU,2.3929,,165.0,167.0,2.0,165.0,0.0,0.0,165.0,89.0,53.0,23.0,0.0,0.0,,,
s2333,BRAVO SECONDARY SCHOOL,False,MOROGORO,2.7105,,19.0,19.0,0.0,19.0,0.0,0.0,19.0,6.0,10.0,3.0,0.0,0.0,,,
s5596,BURHANI SECONDARY SCHOOL,False,TANGA,2.803,,11.0,11.0,0.0,11.0,0.0,0.0,11.0,2.0,7.0,2.0,0.0,0.0,,,
s5154,BRIGHT FUTURE GIRLS SECONDARY SCHOOL,False,DAR ES SALAAM,2.0556,,39.0,39.0,0.0,39.0,0.0,0.0,39.0,28.0,11.0,0.0,0.0,0.0,,,
s1351,BURONGE SECONDARY SCHOOL,False,KIGOMA,2.7899,,169.0,169.0,0.0,169.0,0.0,0.0,169.0,32.0,118.0,19.0,0.0,0.0,,,
s5060,BEIT-EL-RAS SECONDARY SCHOOL,False,MJINI MAGHARIBI,3.3182,,22.0,22.0,0.0,22.0,0.0,0.0,22.0,2.0,7.0,13.0,0.0,0.0,,,
s1127,BUGANDO SECONDARY SCHOOL,False,GEITA,2.5915,,71.0,72.0,1.0,71.0,0.0,0.0,71.0,25.0,39.0,7.0,0.0,0.0,,,
s4092,BUSEGWE GIRLS' SECONDARY SCHOOL,False,MARA,3.75,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,
s0383,BEN BELLA SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.8664,,111.0,112.0,0.0,112.0,1.0,0.0,111.0,22.0,60.0,29.0,0.0,0.0,,,
s0550,BUGENE SECONDARY SCHOOL,False,KAGERA,1.9826,,201.0,201.0,0.0,201.0,0.0,0.0,201.0,166.0,34.0,1.0,0.0,0.0,,,
s1153,BUSERESERE SECONDARY SCHOOL,False,GEITA,2.4175,,99.0,99.0,0.0,99.0,0.0,0.0,99.0,42.0,53.0,4.0,0.0,0.0,,,
s0564,BUSWELU SECONDARY SCHOOL,False,MWANZA,3.1489,,75.0,76.0,1.0,75.0,0.0,0.0,75.0,10.0,34.0,31.0,0.0,0.0,,,
s1757,BENDEL MEMORIAL SECONDARY SCHOOL,False,KILIMANJARO,2.531,,113.0,114.0,1.0,113.0,0.0,0.0,113.0,46.0,54.0,13.0,0.0,0.0,800,60,13:1
s0984,BUKAMA SECONDARY SCHOOL,False,MARA,2.2667,,60.0,62.0,2.0,60.0,0.0,0.0,60.0,36.0,19.0,5.0,0.0,0.0,,,
s0566,BUTIMBA TEACHERS' COLLEGE,False,MWANZA,3.924,,224.0,234.0,6.0,228.0,0.0,0.0,228.0,5.0,34.0,161.0,24.0,4.0,,,
s0960,BENJAMIN WILLIAM MKAPA HIGH SCHOOL,False,DAR ES SALAAM,3.1545,,408.0,412.0,0.0,412.0,0.0,0.0,412.0,63.0,176.0,165.0,4.0,4.0,1800,90,20:1
s0304,BUKOBA SECONDARY SCHOOL,False,KAGERA,3.2673,,53.0,53.0,0.0,53.0,0.0,0.0,53.0,6.0,19.0,28.0,0.0,0.0,,,
s1718,BEREGE SECONDARY SCHOOL,False,DODOMA,2.6753,,116.0,116.0,0.0,116.0,0.0,0.0,116.0,29.0,75.0,12.0,0.0,0.0,,,
s0788,BUTURI SECONDARY SCHOOL,False,MARA,2.0843,,89.0,89.0,0.0,89.0,0.0,0.0,89.0,63.0,26.0,0.0,0.0,0.0,,,
s3661,BEROYA SECONDARY SCHOOL,False,RUVUMA,2.7255,,17.0,18.0,1.0,17.0,0.0,0.0,17.0,5.0,8.0,4.0,0.0,0.0,,,
s1936,BUKOMBE SECONDARY SCHOOL,False,GEITA,2.3301,,52.0,53.0,1.0,52.0,0.0,0.0,52.0,27.0,23.0,2.0,0.0,0.0,,,
s0559,BWABUKI SECONDARY SCHOOL,False,KAGERA,2.3284,,34.0,34.0,0.0,34.0,0.0,0.0,34.0,17.0,17.0,0.0,0.0,0.0,,,
s4811,BIDII SECONDARY SCHOOL,False,MWANZA,2.6146,,16.0,16.0,0.0,16.0,0.0,0.0,16.0,5.0,9.0,2.0,0.0,0.0,,,
s0709,BUKONGO SECONDARY SCHOOL,False,MWANZA,2.7971,,161.0,161.0,0.0,161.0,0.0,0.0,161.0,41.0,84.0,35.0,1.0,0.0,,,
s1264,BWAWANI SECONDARY SCHOOL,False,PWANI,2.8434,,33.0,33.0,0.0,33.0,0.0,0.0,33.0,7.0,21.0,5.0,0.0,0.0,,,
s0235,BUKUMBI SECONDARY SCHOOL,False,MWANZA,2.8167,,10.0,10.0,0.0,10.0,0.0,0.0,10.0,2.0,6.0,2.0,0.0,0.0,600,45,13:1
s0210,BIGWA SISTERS' SEMINARY,False,MOROGORO,2.4139,,60.0,60.0,0.0,60.0,0.0,0.0,60.0,29.0,25.0,6.0,0.0,0.0,,,
s0742,BULONGWA SECONDARY SCHOOL,False,NJOMBE,2.1667,,4.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,,,
s4382,BWINA SECONDARY SCHOOL,False,GEITA,2.5074,,68.0,68.0,0.0,68.0,0.0,0.0,68.0,26.0,38.0,4.0,0.0,0.0,,,
s0405,BIHARAMULO SECONDARY SCHOOL,False,KAGERA,2.1361,,180.0,183.0,2.0,181.0,1.0,0.0,180.0,115.0,60.0,5.0,0.0,0.0,,,
s0104,BWIRU BOYS' SECONDARY SCHOOL,False,MWANZA,2.7455,,130.0,131.0,0.0,131.0,0.0,0.0,131.0,47.0,52.0,30.0,1.0,1.0,,,
s0103,BIHAWANA SECONDARY SCHOOL,False,DODOMA,2.7099,,467.0,471.0,4.0,467.0,0.0,0.0,467.0,136.0,252.0,78.0,1.0,0.0,,,
s0305,BULUBA SECONDARY SCHOOL,False,SHINYANGA,3.1667,,27.0,29.0,2.0,27.0,0.0,0.0,27.0,5.0,11.0,11.0,0.0,0.0,370,23,16:1
s0710,BINZA SECONDARY SCHOOL,False,SIMIYU,2.715,,131.0,134.0,3.0,131.0,0.0,0.0,131.0,34.0,75.0,22.0,0.0,0.0,,,
s0202,BWIRU GIRLS' SECONDARY SCHOOL,False,MWANZA,2.5826,,476.0,476.0,0.0,476.0,0.0,0.0,476.0,176.0,236.0,64.0,0.0,0.0,800,40,20:1
s2998,BULUNDE SECONDARY SCHOOL,False,TABORA,2.3889,,147.0,147.0,0.0,147.0,0.0,0.0,147.0,74.0,64.0,9.0,0.0,0.0,,,
s5150,CHASASA SECONDARY SCHOOL,False,KASKAZINI PEMBA,3.2632,,38.0,38.0,0.0,38.0,0.0,0.0,38.0,7.0,11.0,19.0,1.0,0.0,,,
s0972,CHILONWA SECONDARY SCHOOL,False,DODOMA,2.1875,,24.0,24.0,0.0,24.0,0.0,0.0,24.0,14.0,10.0,0.0,0.0,0.0,,,
s4894,CANAAN SECONDARY SCHOOL,False,SONGWE,2.4266,,59.0,59.0,0.0,59.0,0.0,0.0,59.0,28.0,27.0,4.0,0.0,0.0,,,
s1552,CHISENGA SECONDARY SCHOOL,False,RUKWA,2.8192,,142.0,142.0,0.0,142.0,0.0,0.0,142.0,19.0,106.0,17.0,0.0,0.0,,,
